personid,post,performance,age,tenure,grosswage,children,bedroom,commute,men,married,wfh
3906,0,.084573008,33,96,2.7375467,1,yes,180,0,1,1
3906,1,.28289628,33,96,2.7375467,1,yes,180,0,1,1
4122,0,.00044988259,30,94,4.0962458,0,no,180,0,0,1
4122,1,.73823762,30,94,4.0962458,0,no,180,0,0,1
4942,0,.91850978,27,82,5.2953954,0,yes,160,0,1,1
4942,1,-.25370544,27,82,5.2953954,0,yes,160,0,1,1
5018,0,-.37744349,29,82,1.3875899,1,yes,240,0,1,1
5018,1,-.60636842,29,82,1.3875899,1,yes,240,0,1,1
5560,0,.91354454,29,79,4.420188,1,yes,50,1,1,0
5560,1,1.3322728,29,79,4.420188,1,yes,50,1,1,0
5614,0,.36998031,32,79,3.8260088,0,yes,80,1,1,1
5614,1,.42784104,32,79,3.8260088,0,yes,80,1,1,1
5784,0,-1.8467853,31,78,2.9404178,0,yes,160,0,0,0
5784,1,-2.081949,31,78,2.9404178,0,yes,160,0,0,0
6162,0,.5602625,31,77,3.8107321,0,yes,120,0,0,0
6162,1,.74584556,31,77,3.8107321,0,yes,120,0,0,0
6300,0,.29836714,33,76,3.3604422,0,yes,80,1,0,0
6300,1,-1.1805261,33,76,3.3604422,0,yes,80,1,0,0
6342,0,-.023077782,30,76,3.923372,1,yes,120,0,1,0
6342,1,-.44975623,30,76,3.923372,1,yes,120,0,1,0
6344,0,.42475712,27,76,4.5168571,1,yes,120,0,1,0
6344,1,1.4397861,27,76,4.5168571,1,yes,120,0,1,0
7132,0,-.19435909,22,72,3.6314757,0,yes,50,0,0,0
7132,1,-.40577629,22,72,3.6314757,0,yes,50,0,0,0
7184,0,1.5682608,27,71,4.2302675,0,yes,120,0,1,0
7184,1,1.0918878,27,71,4.2302675,0,yes,120,0,1,0
7454,0,-.22397614,24,70,2.0513732,0,yes,85,0,1,0
7454,1,-.47617832,24,70,2.0513732,0,yes,85,0,1,0
7488,0,.45098305,25,70,3.0722089,0,yes,240,0,0,1
7488,1,1.2493356,25,70,3.0722089,0,yes,240,0,0,1
8854,0,.65077931,22,66,4.2592611,0,yes,60,0,0,1
8854,1,.96376872,22,66,4.2592611,0,yes,60,0,0,1
8980,0,-.031765454,25,65,1.9734234,0,yes,120,0,0,1
8980,1,-1.132902,25,65,1.9734234,0,yes,120,0,0,1
9070,0,.82980877,23,66,4.0421543,0,yes,60,0,0,0
9070,1,1.1879385,23,66,4.0421543,0,yes,60,0,0,0
9106,0,-1.3841063,23,25,3.6806667,0,yes,20,0,0,0
9106,1,-1.3755672,23,25,3.6806667,0,yes,20,0,0,0
9460,0,1.2603998,23,65,5.8756423,0,yes,40,0,0,0
9460,1,.41981685,23,65,5.8756423,0,yes,40,0,0,0
10024,0,.37736371,26,63,3.3279943,1,yes,230,0,1,0
10024,1,.45094585,26,63,3.3279943,1,yes,230,0,1,0
10226,0,-.25819916,22,62,3.3343222,0,no,60,0,0,1
10226,1,-.18998504,22,62,3.3343222,0,no,60,0,0,1
10356,0,.2486563,27,62,3.7967179,0,yes,60,1,0,1
10356,1,.16630831,27,62,3.7967179,0,yes,60,1,0,1
10450,0,-1.1108553,27,61,4.5207467,0,yes,180,0,0,0
10450,1,-1.6787047,27,61,4.5207467,0,yes,180,0,0,0
10794,0,1.0376455,32,60,4.1691942,1,yes,120,0,1,1
10794,1,1.1161209,32,60,4.1691942,1,yes,120,0,1,1
10822,0,.60906583,26,60,2.9962699,0,yes,70,0,1,1
10822,1,1.2743901,26,60,2.9962699,0,yes,70,0,1,1
10868,0,-2.2348683,30,60,1.4717622,1,yes,130,0,1,0
10868,1,-.59338403,30,60,1.4717622,1,yes,130,0,1,0
11362,0,.45027253,27,59,3.9455733,1,yes,180,0,1,0
11362,1,-.61242259,27,59,3.9455733,1,yes,180,0,1,0
11582,0,-.41945389,22,58,3.71543,0,yes,50,0,0,0
11582,1,-.83969444,22,58,3.71543,0,yes,50,0,0,0
11814,0,.99927545,24,58,5.9308381,0,yes,50,0,0,0
11814,1,.86835694,24,58,5.9308381,0,yes,50,0,0,0
11868,0,.15984595,30,57,2.7679133,0,yes,120,1,0,1
11868,1,-.46452656,30,57,2.7679133,0,yes,120,1,0,1
11896,0,1.0814639,29,57,3.5289278,1,yes,120,1,1,0
11896,1,-1.4574376,29,57,3.5289278,1,yes,120,1,1,0
12150,0,-.084294781,33,57,2.9225345,1,yes,150,0,1,0
12150,1,-1.9067485,33,57,2.9225345,1,yes,150,0,1,0
12350,0,.9387157,29,56,4.3548565,1,yes,180,1,1,0
12350,1,.69662958,29,56,4.3548565,1,yes,180,1,1,0
12974,0,.046489317,22,54,3.8363302,0,yes,20,0,0,1
12974,1,.39157498,22,54,3.8363302,0,yes,20,0,0,1
13056,0,-1.8717821,28,54,2.136348,0,yes,60,1,0,0
13056,1,-1.0477072,28,54,2.136348,0,yes,60,1,0,0
13118,0,-.69761181,22,54,2.8010588,0,yes,125,1,0,0
13118,1,-1.7530164,22,54,2.8010588,0,yes,125,1,0,0
13484,0,-.16431208,25,53,2.7452157,0,yes,90,0,0,0
13484,1,-1.4217312,25,53,2.7452157,0,yes,90,0,0,0
13486,0,-2.3465269,23,53,2.3599699,0,yes,10,1,0,0
13486,1,-2.1783602,23,53,2.3599699,0,yes,10,1,0,0
13530,0,-.211109,29,53,2.9978867,0,yes,100,1,0,1
13530,1,-.047276225,29,53,2.9978867,0,yes,100,1,0,1
13574,0,1.4744812,30,53,4.1970549,1,yes,190,1,1,1
13574,1,2.205483,30,53,4.1970549,1,yes,190,1,1,1
14048,0,.59494865,28,51,3.6995213,1,yes,180,0,1,1
14048,1,.29285932,28,51,3.6995213,1,yes,180,0,1,1
14266,0,.1682355,26,51,3.0967278,0,yes,60,0,1,0
14266,1,-.29927182,26,51,3.0967278,0,yes,60,0,1,0
14522,0,-.96803975,29,50,3.4024889,0,yes,40,1,0,1
14522,1,-.77942199,29,50,3.4024889,0,yes,40,1,0,1
14528,0,.24274956,28,50,2.6626198,1,yes,65,0,1,1
14528,1,.76418632,28,50,2.6626198,1,yes,65,0,1,1
14532,0,.25117934,26,50,2.9423811,0,yes,120,0,0,1
14532,1,.53640419,26,50,2.9423811,0,yes,120,0,0,1
14678,0,-1.0820868,26,50,3.7973533,0,yes,60,1,1,1
14678,1,.14900902,26,50,3.7973533,0,yes,60,1,1,1
14682,0,-.76727194,23,50,3.9770288,0,yes,80,1,0,0
14682,1,-.68861347,23,50,3.9770288,0,yes,80,1,0,0
14724,0,1.8759282,24,50,5.9590802,0,yes,30,1,0,0
14724,1,1.0039923,24,50,5.9590802,0,yes,30,1,0,0
14926,0,.967318,28,50,4.9257622,0,yes,20,1,0,0
14926,1,.63863313,28,50,4.9257622,0,yes,20,1,0,0
15294,0,.57131052,25,49,3.7159467,0,yes,80,0,0,1
15294,1,1.085644,25,49,3.7159467,0,yes,80,0,0,1
15452,0,-.098787718,26,49,2.6629901,0,yes,30,1,0,0
15452,1,.14185564,26,49,2.6629901,0,yes,30,1,0,0
15704,0,-.31261006,27,48,2.8402689,0,yes,150,0,1,0
15704,1,-.071489662,27,48,2.8402689,0,yes,150,0,1,0
15862,0,-1.200807,26,48,3.8316634,0,yes,80,0,0,0
15862,1,-1.2787908,26,48,3.8316634,0,yes,80,0,0,0
16104,0,-.54745781,28,44.5,3.7076747,0,yes,120,1,1,0
